timestamp,memory_used_MiB,memory_total_MiB,util_gpu_pct
22:13:32.021,1543, 4096, 3
22:13:32.296,1543, 4096, 3
22:13:32.562,1546, 4096, 3
22:13:32.836,1549, 4096, 3
22:13:33.099,1563, 4096, 3
22:13:33.346,1585, 4096, 5
22:13:33.612,1587, 4096, 5
22:13:33.878,1587, 4096, 5
22:13:34.142,1589, 4096, 5
22:13:34.408,1590, 4096, 10
22:13:34.669,1600, 4096, 10
22:13:34.932,1600, 4096, 10
22:13:35.197,1600, 4096, 10
22:13:35.459,1601, 4096, 6
22:13:35.729,1593, 4096, 6
22:13:35.982,1587, 4096, 6
22:13:36.247,1587, 4096, 6
22:13:36.511,1588, 4096, 8
22:13:36.775,1588, 4096, 8
22:13:37.042,1579, 4096, 8
22:13:37.309,1579, 4096, 8
22:13:37.572,1579, 4096, 3
22:13:37.818,1579, 4096, 3
22:13:38.085,1584, 4096, 3
22:13:38.352,1584, 4096, 7
22:13:38.615,1594, 4096, 7
22:13:38.882,1603, 4096, 7
22:13:39.147,1596, 4096, 7
22:13:39.418,1588, 4096, 12
22:13:39.702,1592, 4096, 12
22:13:39.966,1593, 4096, 12
22:13:40.228,1608, 4096, 12
22:13:40.492,1618, 4096, 7
22:13:40.758,1618, 4096, 7
22:13:41.024,1617, 4096, 7
22:13:41.290,1602, 4096, 7
22:13:41.554,1605, 4096, 7
22:13:41.817,1605, 4096, 7
22:13:42.084,1602, 4096, 7
22:13:42.349,1602, 4096, 11
22:13:42.612,1600, 4096, 11
22:13:42.876,1582, 4096, 11
22:13:43.139,1578, 4096, 11
22:13:43.405,1578, 4096, 6
22:13:43.671,1587, 4096, 6
22:13:43.936,1626, 4096, 6
22:13:44.218,1627, 4096, 6
22:13:44.480,1628, 4096, 1
22:13:44.761,2236, 4096, 1
22:13:45.025,2236, 4096, 1
22:13:45.291,2491, 4096, 1
22:13:45.571,2488, 4096, 28
22:13:45.836,2489, 4096, 28
22:13:46.102,2486, 4096, 28
22:13:46.367,2486, 4096, 56
22:13:46.617,2486, 4096, 56
22:13:46.884,2486, 4096, 56
22:13:47.147,2486, 4096, 56
22:13:47.412,2475, 4096, 1
22:13:47.676,2475, 4096, 1
22:13:47.944,2475, 4096, 1
22:13:48.211,2475, 4096, 1
22:13:48.474,2475, 4096, 1
22:13:48.739,2475, 4096, 1
22:13:49.005,2475, 4096, 1
22:13:49.270,2475, 4096, 1
22:13:49.538,2475, 4096, 2
22:13:49.804,2474, 4096, 2
22:13:50.069,2474, 4096, 2
22:13:50.332,2469, 4096, 2
22:13:50.598,2469, 4096, 1
22:13:50.863,2759, 4096, 1
22:13:51.137,3527, 4096, 1
22:13:51.456,3527, 4096, 22
22:13:51.718,3527, 4096, 22
22:13:51.980,3527, 4096, 22
22:13:52.245,3528, 4096, 22
22:13:52.510,3538, 4096, 7
22:13:52.773,3538, 4096, 7
22:13:53.038,3550, 4096, 7
22:13:53.287,3550, 4096, 7
22:13:53.552,3550, 4096, 99
22:13:53.819,3550, 4096, 99
22:13:54.082,3550, 4096, 99
22:13:54.345,3550, 4096, 99
22:13:54.611,3550, 4096, 100
22:13:54.875,3550, 4096, 100
22:13:55.144,3550, 4096, 100
22:13:55.407,3550, 4096, 100
22:13:55.671,3549, 4096, 100
22:13:55.935,3549, 4096, 100
22:13:56.202,3549, 4096, 100
22:13:56.470,3549, 4096, 97
22:13:56.731,3549, 4096, 97
22:13:56.997,3545, 4096, 97
22:13:57.260,3545, 4096, 97
22:13:57.527,3545, 4096, 93
22:13:57.790,3545, 4096, 93
22:13:58.056,3544, 4096, 93
22:13:58.321,3537, 4096, 93
22:13:58.586,3537, 4096, 98
22:13:58.852,3537, 4096, 98
22:13:59.115,3537, 4096, 98
22:13:59.381,3537, 4096, 98
22:13:59.648,3537, 4096, 95
22:13:59.959,3537, 4096, 95
22:14:00.223,3536, 4096, 95
22:14:00.475,3532, 4096, 88
22:14:00.739,3527, 4096, 88
22:14:01.002,3526, 4096, 88
22:14:01.271,3526, 4096, 88
22:14:01.537,3526, 4096, 99
22:14:01.800,3526, 4096, 99
22:14:02.062,3526, 4096, 99
22:14:02.326,3526, 4096, 99
22:14:02.592,3526, 4096, 100
