timestamp,cpu_total_pct
22:39:19.067,34.5
22:39:20.602,15.6
22:39:22.124,29.1
22:39:23.650,20.2
22:39:25.178,22
22:39:26.704,23.4
22:39:28.234,36.4
22:39:29.758,21.5
22:39:31.280,39.2
22:39:32.800,54.1
22:39:34.328,39.7
22:39:35.848,32.6
22:39:37.376,45.2
22:39:38.904,50.9
22:39:40.435,46.9
22:39:41.964,54.7
22:39:43.491,36.6
22:39:45.019,47.5
22:39:46.548,37.6
22:39:48.078,41.9
22:39:49.594,38.1
22:39:51.122,36.9
22:39:52.650,42.6
22:39:54.179,32.6
22:39:55.708,44.3
22:39:57.235,40.5
22:39:58.764,38.3
22:40:00.282,36.5
22:40:01.804,44.4
22:40:03.324,51.9
22:40:04.857,57.1
22:40:06.380,53
22:40:07.904,50.7
22:40:09.427,46
22:40:10.952,46.1
22:40:12.479,46.7
22:40:13.991,52.3
22:40:15.509,45.3
22:40:17.029,42.4
22:40:18.551,42.3
22:40:20.081,49.3
22:40:21.604,43.3
22:40:23.128,46.8
22:40:24.656,43.8
22:40:26.168,38.4
22:40:27.693,38
22:40:29.215,37.9
22:40:30.741,35.4
22:40:32.268,37.3
22:40:33.792,29.6
22:40:35.295,38.8
22:40:36.810,49.3
22:40:38.336,41
22:40:39.857,53.3
22:40:41.385,33
22:40:42.913,46
22:40:44.433,42.7
22:40:45.956,46.1
22:40:47.477,40.4
22:40:48.998,37.4
22:40:50.522,30.2
22:40:52.042,24.1
22:40:53.567,33.1
22:40:55.082,23.3
22:40:56.606,25.7
22:40:58.129,33.1
